Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	m_D->B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
1312	 1.15512	 1.05188	 4.86350	 7.55438	 2.63598	 2.33710	 4.97142	 0.08536	 0.13134	 0.72492	24.06118	-1347.984694	-1401737.169836	-53752.476295
1313	 1.19456	 1.04975	 4.88219	 7.35971	 2.64611	 2.34608	 5.13478	 0.08569	 0.12660	 0.72770	23.47685	-1348.122021	-1401734.296240	-53612.275003
1314	 1.13557	 1.04475	 5.10882	 7.52412	 2.52530	 2.33490	 5.30961	 0.07699	 0.11745	 0.72423	23.92155	-1348.175860	-1401710.146001	-53534.285618
1315	 1.09002	 1.00037	 4.95648	 7.48107	 2.43404	 2.32154	 5.27923	 0.07655	 0.11678	 0.72009	23.64614	-1348.182563	-1401679.893673	-53497.330217
1316	 1.06243	 0.98986	 5.12356	 7.50535	 2.44194	 2.25106	 5.29637	 0.07679	 0.12366	 0.70422	22.91678	-1348.131549	-1401704.231449	-53572.681950
1317	 1.03326	 0.95666	 5.20179	 7.49972	 2.49112	 2.25836	 5.31355	 0.07704	 0.12406	 0.70651	22.37593	-1347.998313	-1401699.273668	-53700.960837
1318	 0.98021	 0.92852	 5.06875	 7.51771	 2.49709	 2.26377	 5.48299	 0.07723	 0.11820	 0.70820	21.81588	-1348.206150	-1401768.752637	-53562.602144
1319	 1.03587	 0.96402	 4.92899	 7.21401	 2.38768	 2.33437	 5.28830	 0.07990	 0.11845	 0.70968	22.28285	-1348.052319	-1401699.736418	-53647.417799
1320	 1.00631	 1.00193	 4.85662	 6.99152	 2.47957	 2.34894	 5.32132	 0.08040	 0.11919	 0.72263	22.43407	-1348.124921	-1401660.311933	-53535.390950
1321	 1.05419	 0.97542	 4.65709	 6.69353	 2.58442	 2.35769	 5.34113	 0.08070	 0.11963	 0.72532	22.80032	-1348.267615	-1401712.643438	-53445.028007
1322	 1.05166	 0.93549	 4.82938	 7.02818	 2.50209	 2.35204	 5.32835	 0.08051	 0.11934	 0.72359	22.41323	-1348.170597	-1401655.498726	-53484.901315
1323	 1.07987	 0.90902	 4.68650	 6.79024	 2.47387	 2.43849	 5.31698	 0.08034	 0.11909	 0.72204	22.22337	-1348.340653	-1401744.923775	-53404.271147
1324	 1.11212	 0.91131	 4.52097	 6.65898	 2.58660	 2.35247	 5.20210	 0.08054	 0.12407	 0.72386	22.57864	-1348.137372	-1401673.311093	-53535.939351
1325	 1.18918	 0.91347	 4.29928	 6.88635	 2.49715	 2.35807	 4.96396	 0.08073	 0.12303	 0.72558	22.22698	-1348.082964	-1401736.235668	-53653.272001
1326	 1.12486	 0.91095	 4.04137	 7.16280	 2.55296	 2.32348	 4.95028	 0.08051	 0.12269	 0.73389	21.80514	-1348.037269	-1401696.550897	-53659.281449
1327	 1.11057	 0.88156	 3.93664	 6.80108	 2.49380	 2.42370	 4.97149	 0.08617	 0.12321	 0.73704	22.15909	-1348.146407	-1401737.919718	-53591.512880
1328	 1.07094	 0.88284	 4.03621	 6.63336	 2.62225	 2.42722	 4.97871	 0.07906	 0.11641	 0.73811	21.66536	-1348.259353	-1401728.697146	-53469.344327
1329	 1.03660	 0.92233	 3.80217	 6.42114	 2.49752	 2.37154	 4.75459	 0.07874	 0.11594	 0.73511	22.20225	-1347.976014	-1401742.786586	-53766.772730
1330	 1.00339	 0.88040	 3.79130	 6.15003	 2.41186	 2.42851	 4.74100	 0.07851	 0.11561	 0.73301	22.57353	-1347.974111	-1401690.543745	-53716.433001
1331	 1.05111	 0.88224	 3.79922	 6.16287	 2.41690	 2.51648	 4.83888	 0.07868	 0.11585	 0.73454	22.83770	-1348.130682	-1401765.434674	-53634.752413
1332	 1.02364	 0.84460	 3.67819	 6.51702	 2.55885	 2.47170	 4.83038	 0.07854	 0.11565	 0.73325	22.24202	-1348.051001	-1401735.373384	-53684.371913
1333	 1.07806	 0.84638	 3.68594	 6.92742	 2.56424	 2.47691	 5.11987	 0.06946	 0.11589	 0.73480	22.90526	-1348.159754	-1401744.373726	-53584.619744
1334	 1.13181	 0.87718	 3.54214	 6.66510	 2.63393	 2.48590	 5.13845	 0.06971	 0.11631	 0.73746	22.35412	-1348.288556	-1401741.228800	-53452.672916
1335	 1.17865	 0.85493	 3.37887	 6.65395	 2.54000	 2.49633	 5.16002	 0.07000	 0.11680	 0.75690	21.53802	-1348.314945	-1401666.644791	-53351.699691
1336	 1.18282	 0.90000	 3.51360	 6.84948	 2.54900	 2.43356	 5.46488	 0.07025	 0.11722	 0.75958	21.03013	-1348.335030	-1401710.884943	-53375.854788
1337	 1.21623	 0.93933	 3.71768	 7.11418	 2.63120	 2.52867	 5.45277	 0.07009	 0.11696	 0.75790	20.86752	-1348.546797	-1401730.564668	-53183.768010
1338	 1.21289	 0.93675	 3.49152	 7.38763	 2.72541	 2.47255	 5.60652	 0.06990	 0.11663	 0.77925	20.46174	-1348.647569	-1401669.062509	-53021.493185
1339	 1.16743	 0.93401	 3.55902	 7.36605	 2.85488	 2.46533	 5.59014	 0.06970	 0.11629	 0.77698	21.04088	-1348.468920	-1401666.375929	-53197.455827
1340	 1.16318	 0.97605	 3.67816	 7.06854	 2.99094	 2.45635	 5.56978	 0.07601	 0.11587	 0.77415	21.50925	-1348.485404	-1401688.585697	-53203.181849
